Gene,GE,CNA,DM,MutSig(Q-value),# Mut,#Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ATM,0.4143401287411787,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.8837655186653137,0.6689870357513428,,22,22,499,4.4%,Yes
ATM,0.5251359343528748,0.5702956914901733,,22,22,499,4.4%,Yes
ATM,0.4670351609441949,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.4441625529986468,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.3089698660934026,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.6449888338349443,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.5650300665454191,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.8643052745886752,0.5662650602409639,,22,22,499,4.4%,Yes
ATM,0.7676933407783508,0.6011072397232056,,22,22,499,4.4%,Yes
ATM,0.7088916319447036,0.5588066551921974,,22,22,499,4.4%,Yes
ATM,0.3677184255870016,0.540447504302926,,22,22,499,4.4%,Yes
ATM,0.3083047490953263,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.6007623855826942,0.5530694205393001,,22,22,499,4.4%,Yes
ATM,0.6284306554661234,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.6534337853004462,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.6722200064272252,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.4299154104349427,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.1463561045256587,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.3175171775374461,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.6056868580006194,0.642570281124498,,22,22,499,4.4%,Yes
ATM,0.5154003097841957,0.5656913367756742,,22,22,499,4.4%,Yes
ATM,0.7155881234587942,0.5496270797475616,,22,22,499,4.4%,Yes
ATM,0.7291827271233946,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.5374067799537596,0.5370051635111877,,22,22,499,4.4%,Yes
ATM,0.4779471604339327,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.4621867130497938,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.5314277420130482,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.7614783644676208,0.7254708409309387,,22,22,499,4.4%,Yes
ATM,0.5384842400931134,0.285140562248996,,22,22,499,4.4%,Yes
ATM,0.5645445432523202,0.5639701663798049,,22,22,499,4.4%,Yes
ATM,0.553874468953226,0.5605278255880666,,22,22,499,4.4%,Yes
ATM,0.686230636717565,0.5513482501434309,,22,22,499,4.4%,Yes
ATM,0.2876116668284023,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.6142220797444362,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.7614873350439835,0.6465863453815262,,22,22,499,4.4%,Yes
ATM,0.7229027068562917,0.5955249569707401,,22,22,499,4.4%,Yes
ATM,0.2734707800346547,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.5451809167861938,0.5774136185646057,,22,22,499,4.4%,Yes
ATM,0.1268611251137694,0.5364314400458978,,22,22,499,4.4%,Yes
ATM,0.5943078737171588,0.5817555938037866,,22,22,499,4.4%,Yes
ATM,0.551392674446106,0.4785136282444,,22,22,499,4.4%,Yes
ATM,0.5265911691214651,0.5576592082616179,,22,22,499,4.4%,Yes
ATM,0.6082850098609924,0.525221586227417,,22,22,499,4.4%,Yes
ATM,0.1852365978933385,0.5874928284566838,,22,22,499,4.4%,Yes
ATM,0.5126028564011116,0.5324153757888698,,22,22,499,4.4%,Yes
ATM,0.6042406206922277,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.819026456308126,0.5496270797475616,,22,22,499,4.4%,Yes
